"relative_path","bytes","lines","hash_sha1","is_binary","read_error","created_utc","modified_utc"
"AGENTS.md","660","18","920AD522BEA059F24C9599EE77D603093672B8FD","False","False","2025-10-24T17:30:12Z","2025-10-24T20:50:41Z"
"assets\README.md","4791","134","56D09EF436EEACD3492123D4FE7167B52CEE05DC","False","False","2025-10-24T17:30:12Z","2025-10-23T02:20:33Z"
"CLAUDE.md","660","18","920AD522BEA059F24C9599EE77D603093672B8FD","False","False","2025-10-24T17:30:13Z","2025-10-24T20:50:41Z"
"docs\pm\fluent_gui-removal.md","572","12","C7A49347C3D2ACD5740CEB5DCF7A307A5FCD5D84","False","False","2025-10-24T22:16:59Z","2025-10-24T22:16:59Z"
"fonts\dejavu-fonts-ttf-2.37\README.md","2556","68","145996BF169C94AFCE4E9E4C586FAA074F6DA46C","False","False","2025-10-24T17:30:13Z","2016-07-30T09:17:43Z"
"CHANGELOG.md","1450","41","62F940E762ECECCF5AA7767A68C0049BA0201538","False","False","2025-10-24T17:30:13Z","2025-10-22T13:01:05Z"
"openspec\AGENTS.md","14982","457","E14861C8C1D1CE4D8C138D00551E885DB4A43392","False","False","2025-10-24T17:30:39Z","2025-10-24T20:50:41Z"
"openspec\changes\archive\2025-10-17-update-docs-pyqt6-reality\proposal.md","714","16","62F7999D23E25DEC96DA3279C7BA45213981DBB5","False","False","2025-10-24T17:30:39Z","2025-10-17T22:46:35Z"
"openspec\changes\archive\2025-10-17-update-docs-pyqt6-reality\specs\ui\spec.md","1127","26","44E2AB537B56A4600833E8FFBB9AFB3A8BCD128C","False","False","2025-10-24T17:30:39Z","2025-10-17T22:54:57Z"
"openspec\changes\archive\2025-10-17-update-docs-pyqt6-reality\tasks.md","517","10","3ED66CEB89D72050BCB5854A3B9153347B470710","False","False","2025-10-24T17:30:39Z","2025-10-17T22:54:31Z"
"openspec\changes\archive\2025-10-18-add-analysis-auto-export\proposal.md","772","14","155C28FBAF971BD3FA3D91D133A7CACE47701865","False","False","2025-10-24T17:30:39Z","2025-10-12T21:06:59Z"
"openspec\changes\archive\2025-10-18-add-analysis-auto-export\specs\export\spec.md","1030","29","9C43C8D7C96575BDEF7037C9C6A67F0FBD743450","False","False","2025-10-24T17:30:39Z","2025-10-12T21:07:11Z"
"openspec\changes\archive\2025-10-18-add-analysis-auto-export\tasks.md","744","17","60A897CB25E25E266DEC6D2BB370276FD0FF5629","False","False","2025-10-24T17:30:40Z","2025-10-13T16:42:30Z"
"openspec\changes\archive\2025-10-18-refactor-architecture-layering\design.md","3218","83","7FB82B06C84AB6E98CA8CC45067A09F8A0281F70","False","False","2025-10-24T17:30:40Z","2025-10-17T22:59:11Z"
"openspec\changes\archive\2025-10-18-refactor-architecture-layering\proposal.md","1593","28","A38B04410A238B542263B6F0AF17A6663A911466","False","False","2025-10-24T17:30:40Z","2025-10-17T22:58:58Z"
"openspec\changes\archive\2025-10-18-refactor-architecture-layering\specs\analysis\spec.md","1696","44","3BACC0DD4E572C279725B5D6D7CB177E86F1E421","False","False","2025-10-24T17:30:40Z","2025-10-17T22:59:19Z"
"openspec\changes\archive\2025-10-18-refactor-architecture-layering\specs\extraction\spec.md","1468","40","C315F41FF050FB950040EE9D888D02ADB03063B5","False","False","2025-10-24T17:30:40Z","2025-10-17T22:59:24Z"
"openspec\changes\archive\2025-10-18-refactor-architecture-layering\specs\ui\spec.md","750","18","5E825EB4A1B77B0C2482980183FE507B350AE15D","False","False","2025-10-24T17:30:40Z","2025-10-17T22:59:26Z"
"openspec\changes\archive\2025-10-18-refactor-architecture-layering\tasks.md","2637","48","862BE17469C901E7AD11270CDB80E1A7D9EFDF7D","False","False","2025-10-24T17:30:40Z","2025-10-18T01:01:26Z"
"openspec\changes\archive\2025-10-19-refactor-presentation-layer\design.md","10499","229","AE0A86525096C1C4411756B56C955BEB197A68B9","False","False","2025-10-24T17:30:40Z","2025-10-18T23:06:55Z"
"openspec\changes\archive\2025-10-19-refactor-presentation-layer\proposal.md","3061","44","1CEA4BF06EFC9853345BFDFED82FA45E1EF4D6E8","False","False","2025-10-24T17:30:40Z","2025-10-18T22:57:38Z"
"openspec\changes\archive\2025-10-19-refactor-presentation-layer\specs\ui\spec.md","9205","183","5E2EE60C9AC95012A28FE36061924E0BB6867C04","False","False","2025-10-24T17:30:40Z","2025-10-18T22:58:25Z"
"openspec\changes\archive\2025-10-19-refactor-presentation-layer\tasks.md","10949","180","D1C1BCA8E1872A04490A8949DD3D2713BC30F8B5","False","False","2025-10-24T17:30:40Z","2025-10-19T00:34:23Z"
"openspec\changes\archive\2025-10-21-refactor-phase1-stabilization\proposal.md","1521","18","42F3522A83196DED621F602A05F2D07CCE556A9A","False","False","2025-10-24T17:30:40Z","2025-10-21T04:28:16Z"
